date,show,run time (total),source,trump air time stamps,harris air time stamps
28-Sep-24,SNL Harris and Trump Rallies Cold Open - SNL,13:14,SNL 50 episode 1 playlist on YouTube https://www.youtube.com/watch?v=pg4Z1M_GjhQ&list=PLS_gQd8UB-hKwOV0OO14zHl74wtgDpKYv on 10/30/2024,0:37-7:24 and 9:57-13:04,7:33-9:47
28-Sep-24,Weekend Update: Trump Calls Kamala Harris “Mentally Disabled Person” - SNL,5:40,same https://www.youtube.com/watch?v=Y2tOpMV6T0I&list=PLS_gQd8UB-hKwOV0OO14zHl74wtgDpKYv&index=3,3:07-3:17 and 3:39-3:55,0:40-1:46 and 3:18-3:38 and 4:12-4:22
6-Oct-24,VP Debate 2024 Cold Open - SNL,8:42,https://www.youtube.com/watch?v=7E_WeuKkJ2s,3:52-3:55 and 6:53-6:56 and 7:00-7:10,0:09-3:40
6-Oct-24,Weekend Update: Trump Scrolled Twitter During January 6 - SNL,6:28,https://www.youtube.com/watch?v=k1cGX_xvaKY,0:37-0:51 and 0:51-1:08 and 1:51-2:04 and 2:23-2:39 and 2:42-2:56,2:07-2:20
13-Oct-24,Family Feud Election 2024 Cold Open - SNL,8:41,https://www.youtube.com/watch?v=AafBunu-k2U,3:29-3:34 and 4:36-4:47 and 4:57-5:02 and 7:41-8:18,1:01-2:02 and 4:49-4:55 and 5:13-5:26 and 5:35-5:42
13-Oct-24,Weekend Update: Trump Agrees to Fox News Town Hall with All-Women Audience - SNL,5:05,https://www.youtube.com/watch?v=fYdS4n8cKzo,0:21-0:52 and 1:32-1:54 and 2:04-2:22 and 3:08-3:28 and 4:46-4:51,1:05-1:30 and 3:31-3:52
24-Oct-24,Fox News Kamala Harris Interview Cold Open - SNL,8:59,https://www.youtube.com/watch?v=Ur7KlIYh8rM,2:44-3:23 and 3:46-3:56 and 7:41-8:03,0:29-0:37 and 0:50-1:25 and 1:37-2:05 and 2:13-2:26 and 4:04-4:47 and 5:29-6:01 and 6:28-7:26 and 8:09-8:44
20-Oct-24,Weekend Update: Trump Dances for 40 Minutes Straight at Campaign Rally - SNL,5:07,https://www.youtube.com/watch?v=TXNX_U1HK_k,0:41-0:52 and 1:14-1:26 and 1:40-2:22 and 2:38-2:51 and 3:05-3:09 and 3:20-3:45,0:30-0:37 and 1:01-1:09 and 3:48-3:51
3-Nov-24,2024 Pre-Election Cold Open - SNL,8:38,https://www.youtube.com/watch?v=e6Funs6yyEw,0:30-2:06,2:34-3:17 and 3:27-4:08 and 4:23-4:48 and 5:09-5:28 and 5:50-6:02 and 6:36-8:20
3-Nov-24,What’s That Name: Election Edition - SNL,6:26,https://www.youtube.com/watch?v=E1atbVu662s&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=12,0:52-0:59,none
3-Nov-24,"Weekend Update: 2024 Presidential Election, Trump's MSG Rally - SNL",4:00,https://www.youtube.com/watch?v=PM6mDaVKBr0&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=13,0:31-2:00 and 2:06-3:14 ,0:23-0:30 and 2:01-2:04 and 3:18-3:25
3-Nov-24,Weekend Update: Reba McEntire on the 2024 Election - SNL,3:16,https://www.youtube.com/watch?v=3LnqPhbzWWI&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=14,none,none
10-Nov-24,SNL for Trump Cold Open - SNL,5:03,https://www.youtube.com/watch?v=FN3q8jZ04_E&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=15,0:11-0:13 and 0:21-0:33 and 0:45-0:58 and 1:02-1:25 and 2:10-2:52 and 3:05-3:22 and 3:56-4:15,1:48-1:51 and 2:16-2:20
6-Nov-24,Bill Burr Hosts Election Week at Saturday Night Live,1:27,https://www.youtube.com/watch?v=iT6JkbWHrE8&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=16,none,none
10-Nov-24,"Weekend Update: Trump Wins 2024 Election, Becomes First Felon Elected President - SNL",3:35,https://www.youtube.com/watch?v=696Eerrbuaw&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=17,0:31-0:52 and 1:30-1:35,1:09-1:15
10-Nov-24,Weekend Update: Michael Che's Neighbor Willie on the 2024 Election Outcome - SNL,4:02,https://www.youtube.com/watch?v=032KtTsETzI&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=18,0:03-0:06 and 3:01-3:05,none
17-Nov-24,Trump and Biden Meeting Cold Open - SNL,7:22,https://www.youtube.com/watch?v=V-bBL0303Kw&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=19,0:28-0:44 and 1:04-1:08 and 1:29-1:44 and 2:18-2:30 and 2:54-3:25 and 3:56-4:02 and 4:28-4:48 and 5:43-5:49 and 6:36-6:54,none
17-Nov-24,"Weekend Update: Trump’s Shocking Cabinet Picks,  Elon Musk Spending Every Day with Trump - SNL",4:09,https://www.youtube.com/watch?v=V2Oe1j1DPiI&list=PLLUTEX3bD4_p3jv99Wi4whOWhWJ3WwZ0P&index=20,0:20-2:44 and 3:03-3:19,none